;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-01-08;ANTIOQUIA;PORCE II;37,23;4.739.900,00;66,20%
2015-01-08;ANTIOQUIA;PORCE III;2,30;169.700,00;11,31%
2015-01-08;ANTIOQUIA;SAN CARLOS;20,21;2.657.100,00;114,04%
2015-01-08;ANTIOQUIA;TENCHE;1,73;471.800,00;64,63%
2015-01-08;CARIBE;SINU URRA;89,28;950.100,00;52,78%
2015-01-08;CENTRO;AMOYA;3,31;386.800,00;24,33%
2015-01-08;CENTRO;BOGOTA N.R.;0,00;;
2015-01-08;CENTRO;MAGDALENA BETANIA;145,36;2.175.900,00;51,08%
2015-01-08;CENTRO;PRADO;1,50;17.600,00;3,20%
2015-01-08;CENTRO;SOGAMOSO;76,08;2.382.300,00;37,22%
2015-01-08;ORIENTE;BATA;11,67;1.963.600,00;74,10%
2015-01-08;ORIENTE;CHUZA;1,52;604.600,00;53,98%
2015-01-08;ORIENTE;GUAVIO;10,00;2.338.000,00;55,40%
2015-01-08;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.719.400,00;53,07%
2015-01-08;VALLE;ALTOANCHICAYA;17,88;1.903.600,00;41,65%
2015-01-08;VALLE;CALIMA;4,80;215.800,00;43,16%
2015-01-08;VALLE;CAUCA SALVAJINA;65,74;1.558.400,00;39,76%
2015-01-08;VALLE;DIGUA;8,37;106.900,00;32,39%
2015-01-08;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2015-01-09;ANTIOQUIA;A. SAN LORENZO;17,54;4.009.300,00;72,11%
2015-01-09;ANTIOQUIA;CONCEPCION;4,06;1.110.200,00;79,30%
2015-01-09;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,88;1.606.300,00;73,35%
2015-01-09;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-09;ANTIOQUIA;GRANDE;12,98;4.071.100,00;55,46%
2015-01-09;ANTIOQUIA;GUADALUPE;11,11;3.036.100,00;79,90%
2015-01-09;ANTIOQUIA;GUATAPE;15,27;2.580.000,00;63,08%
2015-01-09;ANTIOQUIA;MIEL I;35,71;1.721.800,00;41,49%
2015-01-09;ANTIOQUIA;NARE;16,19;5.720.000,00;44,17%
2015-01-09;ANTIOQUIA;PORCE II;55,94;7.120.700,00;99,45%
2015-01-09;ANTIOQUIA;PORCE III;8,82;651.000,00;43,40%
2015-01-09;ANTIOQUIA;SAN CARLOS;17,68;2.323.900,00;99,74%
2015-01-09;ANTIOQUIA;TENCHE;2,75;752.100,00;103,03%
2015-01-09;CARIBE;SINU URRA;88,54;942.200,00;52,34%
2015-01-09;CENTRO;AMOYA;5,73;669.000,00;42,08%
2015-01-09;CENTRO;BOGOTA N.R.;5,45;2.167.700,00;61,76%
2015-01-09;CENTRO;MAGDALENA BETANIA;151,90;2.273.800,00;53,38%
2015-01-09;CENTRO;PRADO;1,43;16.800,00;3,05%
2015-01-09;CENTRO;SOGAMOSO;170,95;5.352.800,00;83,64%
2015-01-09;ORIENTE;BATA;11,79;1.983.800,00;74,86%
2015-01-09;ORIENTE;CHUZA;2,09;831.300,00;74,22%
2015-01-09;ORIENTE;GUAVIO;14,24;3.329.400,00;78,90%
2015-01-09;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.992.300,00;61,49%
2015-01-09;VALLE;ALTOANCHICAYA;13,93;1.483.100,00;32,45%
2015-01-09;VALLE;CALIMA;2,68;120.500,00;24,10%
2015-01-09;VALLE;CAUCA SALVAJINA;62,28;1.476.300,00;37,66%
2015-01-09;VALLE;DIGUA;10,79;137.800,00;41,76%
2015-01-09;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2015-01-10;ANTIOQUIA;A. SAN LORENZO;20,13;4.602.300,00;82,78%
